,urlkey,number_of_pages,0,1,2,3,4,5,6,7,8,9,domain
2922,"au,gov,sa,lga,dcw,dorset",1,au,gov,sa,lga,dcw,dorset,,,,,dorset.dcw.lga.sa.gov.au
2923,"au,gov,qld,slq,onesearch",46297,au,gov,qld,slq,onesearch,,,,,,onesearch.slq.qld.gov.au
2924,"au,gov,nla,ftp",5,au,gov,nla,ftp,,,,,,,ftp.nla.gov.au
2925,"au,gov,nt,health,digitallibrary",30633,au,gov,nt,health,digitallibrary,,,,,,digitallibrary.health.nt.gov.au
2926,"au,gov,nsw,schools,stjohnspk-p",226,au,gov,nsw,schools,stjohnspk-p,,,,,,stjohnspk-p.schools.nsw.gov.au
2927,"au,gov,nsw,schools,trangie-c",296,au,gov,nsw,schools,trangie-c,,,,,,trangie-c.schools.nsw.gov.au
2928,"au,gov,act,justice",3532,au,gov,act,justice,,,,,,,justice.act.gov.au
2929,"au,gov,wa,harvey,onlineservices",3,au,gov,wa,harvey,onlineservices,,,,,,onlineservices.harvey.wa.gov.au
2930,"au,gov,vic,dpi,fils",82,au,gov,vic,dpi,fils,,,,,,fils.dpi.vic.gov.au
2931,"au,gov,nsw,centraltoeveleigh",114,au,gov,nsw,centraltoeveleigh,,,,,,,centraltoeveleigh.nsw.gov.au
2932,"au,gov,nsw,health,mlhd",5957,au,gov,nsw,health,mlhd,,,,,,mlhd.health.nsw.gov.au
2933,"au,gov,qld,scc,locate,cloud",189,au,gov,qld,scc,locate,cloud,,,,,cloud.locate.scc.qld.gov.au
2934,"au,gov,nsw,schools,kingswoods-p",145,au,gov,nsw,schools,kingswoods-p,,,,,,kingswoods-p.schools.nsw.gov.au
2935,"au,gov,tas,asbestos",75,au,gov,tas,asbestos,,,,,,,asbestos.tas.gov.au
2936,"au,gov,tas,northernmidlands",5821,au,gov,tas,northernmidlands,,,,,,,northernmidlands.tas.gov.au
2937,"au,gov,nla,ma-test",14,au,gov,nla,ma-test,,,,,,,ma-test.nla.gov.au
2938,"au,gov,wa,bayswater,webmail",3,au,gov,wa,bayswater,webmail,,,,,,webmail.bayswater.wa.gov.au
2939,"au,gov,nationalsecurity",18687,au,gov,nationalsecurity,,,,,,,,nationalsecurity.gov.au
2940,"au,gov,nsw,dpws,sfs",78,au,gov,nsw,dpws,sfs,,,,,,sfs.dpws.nsw.gov.au
2941,"au,gov,nsw,schools,ashfieldbo-h",429,au,gov,nsw,schools,ashfieldbo-h,,,,,,ashfieldbo-h.schools.nsw.gov.au
2942,"au,gov,vic,cfa,authdc2",1,au,gov,vic,cfa,authdc2,,,,,,authdc2.cfa.vic.gov.au
2943,"au,gov,nsw,mosman,tst",106,au,gov,nsw,mosman,tst,,,,,,tst.mosman.nsw.gov.au
2944,"au,gov,nsw,schools,barkersval-p",224,au,gov,nsw,schools,barkersval-p,,,,,,barkersval-p.schools.nsw.gov.au
2945,"au,gov,nsw,mosman,planning",2,au,gov,nsw,mosman,planning,,,,,,planning.mosman.nsw.gov.au
2946,"au,gov,ramint",16815,au,gov,ramint,,,,,,,,ramint.gov.au
2947,"au,gov,asi",933,au,gov,asi,,,,,,,,asi.gov.au
2948,"au,gov,nsw,schools,appin-p",246,au,gov,nsw,schools,appin-p,,,,,,appin-p.schools.nsw.gov.au
2949,"au,gov,studyinaustralia",444643,au,gov,studyinaustralia,,,,,,,,studyinaustralia.gov.au
2950,"au,gov,vic,swarh,learning",12,au,gov,vic,swarh,learning,,,,,,learning.swarh.vic.gov.au
2951,"au,gov,vic,consumer,my",2,au,gov,vic,consumer,my,,,,,,my.consumer.vic.gov.au
2952,"au,gov,nsw,education,ps,lakemunmorah",281,au,gov,nsw,education,ps,lakemunmorah,,,,,lakemunmorah.ps.education.nsw.gov.au
2953,"au,gov,nsw,health,dtechreg",70,au,gov,nsw,health,dtechreg,,,,,,dtechreg.health.nsw.gov.au
2954,"au,gov,nsw,northsydney,bookings",15,au,gov,nsw,northsydney,bookings,,,,,,bookings.northsydney.nsw.gov.au
2955,"au,gov,nsw,transport",22437,au,gov,nsw,transport,,,,,,,transport.nsw.gov.au
2956,"au,gov,wa,arc",326,au,gov,wa,arc,,,,,,,arc.wa.gov.au
2957,"au,gov,qld,slq,digitalstrategy",1,au,gov,qld,slq,digitalstrategy,,,,,,digitalstrategy.slq.qld.gov.au
2958,"au,gov,sa,eprojects,comms",9,au,gov,sa,eprojects,comms,,,,,,comms.eprojects.sa.gov.au
2959,"au,gov,nt,nationaltraumacentre",6201,au,gov,nt,nationaltraumacentre,,,,,,,nationaltraumacentre.nt.gov.au
2960,"au,gov,qld,det,webmail",1,au,gov,qld,det,webmail,,,,,,webmail.det.qld.gov.au
2961,"au,gov,vic,audit,download",2699,au,gov,vic,audit,download,,,,,,download.audit.vic.gov.au
2962,"au,gov,financialcapability",362,au,gov,financialcapability,,,,,,,,financialcapability.gov.au
2963,"au,gov,vic,ffm,tarnook",6,au,gov,vic,ffm,tarnook,,,,,,tarnook.ffm.vic.gov.au
2964,"au,gov,sa,alexandrina,w",1,au,gov,sa,alexandrina,w,,,,,,w.alexandrina.sa.gov.au
2965,"au,gov,nsw,schools,homebushw-p",1411,au,gov,nsw,schools,homebushw-p,,,,,,homebushw-p.schools.nsw.gov.au
2966,"au,gov,nsw,ess",168123,au,gov,nsw,ess,,,,,,,ess.nsw.gov.au
2967,"au,gov,embassy,mongolia",112,au,gov,embassy,mongolia,,,,,,,mongolia.embassy.gov.au
2968,"au,gov,nsw,statefleet,easyorder",1,au,gov,nsw,statefleet,easyorder,,,,,,easyorder.statefleet.nsw.gov.au
2969,"au,gov,vic,mopt,prebook2",21,au,gov,vic,mopt,prebook2,,,,,,prebook2.mopt.vic.gov.au
2970,"au,gov,qld,slq,cwpp",6203,au,gov,qld,slq,cwpp,,,,,,cwpp.slq.qld.gov.au
2971,"au,gov,qld,mtcottontraining",758,au,gov,qld,mtcottontraining,,,,,,,mtcottontraining.qld.gov.au
2972,"au,gov,health,external",59,au,gov,health,external,,,,,,,external.health.gov.au
2973,"au,gov,nt,stellamarisinquiry",19,au,gov,nt,stellamarisinquiry,,,,,,,stellamarisinquiry.nt.gov.au
2974,"au,gov,qld,qsuper,memberonline",518,au,gov,qld,qsuper,memberonline,,,,,,memberonline.qsuper.qld.gov.au
2975,"au,gov,bom,cosppac",44,au,gov,bom,cosppac,,,,,,,cosppac.bom.gov.au
2976,"au,gov,sa,botanicgardens,plantselector",315,au,gov,sa,botanicgardens,plantselector,,,,,,plantselector.botanicgardens.sa.gov.au
2977,"au,gov,nsw,schools,bossleypk-h",235,au,gov,nsw,schools,bossleypk-h,,,,,,bossleypk-h.schools.nsw.gov.au
2978,"au,gov,nsw,crownland,crrs",23,au,gov,nsw,crownland,crrs,,,,,,crrs.crownland.nsw.gov.au
2979,"au,gov,sa,mitcham",1,au,gov,sa,mitcham,,,,,,,mitcham.sa.gov.au
2980,"au,gov,vic,youthcentral",305738,au,gov,vic,youthcentral,,,,,,,youthcentral.vic.gov.au
2981,"au,gov,nsw,schools,artarmon-p",40,au,gov,nsw,schools,artarmon-p,,,,,,artarmon-p.schools.nsw.gov.au
2982,"au,gov,wa,health,diabetes",80,au,gov,wa,health,diabetes,,,,,,diabetes.health.wa.gov.au
2983,"au,gov,nsw,ourlocal,staging",1,au,gov,nsw,ourlocal,staging,,,,,,staging.ourlocal.nsw.gov.au
2984,"au,gov,nsw,hnehealth",18660,au,gov,nsw,hnehealth,,,,,,,hnehealth.nsw.gov.au
2985,"au,gov,wa,walis",209047,au,gov,wa,walis,,,,,,,walis.wa.gov.au
2986,"au,gov,wa,agwestinternational",49,au,gov,wa,agwestinternational,,,,,,,agwestinternational.wa.gov.au
2987,"au,gov,nla,purl",280,au,gov,nla,purl,,,,,,,purl.nla.gov.au
2988,"au,gov,wa,pmh",286,au,gov,wa,pmh,,,,,,,pmh.wa.gov.au
2989,"au,gov,nsw,woollahra,lhc",2,au,gov,nsw,woollahra,lhc,,,,,,lhc.woollahra.nsw.gov.au
2990,"au,gov,canceraustralia,neuroendocrine-tumours",20,au,gov,canceraustralia,neuroendocrine-tumours,,,,,,,neuroendocrine-tumours.canceraustralia.gov.au
2991,"au,gov,environment,secure",183,au,gov,environment,secure,,,,,,,secure.environment.gov.au
2992,"au,gov,accc,transition",3279,au,gov,accc,transition,,,,,,,transition.accc.gov.au
2993,"au,gov,vic,det",2004,au,gov,vic,det,,,,,,,det.vic.gov.au
2994,"au,gov,fisheriesresearch",1,au,gov,fisheriesresearch,,,,,,,,fisheriesresearch.gov.au
2995,"au,gov,qld,chogm2001",21,au,gov,qld,chogm2001,,,,,,,chogm2001.qld.gov.au
2996,"au,gov,wa,communities,fusion",1,au,gov,wa,communities,fusion,,,,,,fusion.communities.wa.gov.au
2997,"au,gov,fahcsia,markarbib",208,au,gov,fahcsia,markarbib,,,,,,,markarbib.fahcsia.gov.au
2998,"au,gov,wa,health,rplibresources,login",2,au,gov,wa,health,rplibresources,login,,,,,login.rplibresources.health.wa.gov.au
2999,"au,gov,worksforyou",11,au,gov,worksforyou,,,,,,,,worksforyou.gov.au
3000,"au,gov,nsw,rms,etoolkit",12,au,gov,nsw,rms,etoolkit,,,,,,etoolkit.rms.nsw.gov.au
3001,"au,gov,nsw,schools,glenvale-s",129,au,gov,nsw,schools,glenvale-s,,,,,,glenvale-s.schools.nsw.gov.au
3002,"au,gov,nsw,dubbo,webmail",1,au,gov,nsw,dubbo,webmail,,,,,,webmail.dubbo.nsw.gov.au
3003,"au,gov,cert,w",1,au,gov,cert,w,,,,,,,w.cert.gov.au
3004,"au,gov,nla,webstats",1,au,gov,nla,webstats,,,,,,,webstats.nla.gov.au
3005,"au,gov,vic,gvrlc",90,au,gov,vic,gvrlc,,,,,,,gvrlc.vic.gov.au
3006,"au,gov,health,search",156,au,gov,health,search,,,,,,,search.health.gov.au
3007,"au,gov,vic,legalpt",20,au,gov,vic,legalpt,,,,,,,legalpt.vic.gov.au
3008,"au,gov,nt,numbulwar,dev",1,au,gov,nt,numbulwar,dev,,,,,,dev.numbulwar.nt.gov.au
3009,"au,gov,tenders,elderberry1,atii",1,au,gov,tenders,elderberry1,atii,,,,,,atii.elderberry1.tenders.gov.au
3010,"au,gov,acma,portal",63,au,gov,acma,portal,,,,,,,portal.acma.gov.au
3011,"au,gov,wa,health,aboriginal",91,au,gov,wa,health,aboriginal,,,,,,aboriginal.health.wa.gov.au
3012,"au,gov,nsw,statefleet",7484,au,gov,nsw,statefleet,,,,,,,statefleet.nsw.gov.au
3013,"au,gov,ausport,online",29,au,gov,ausport,online,,,,,,,online.ausport.gov.au
3014,"au,gov,qld,legalaid,vcdiary",19,au,gov,qld,legalaid,vcdiary,,,,,,vcdiary.legalaid.qld.gov.au
3015,"au,gov,cleanenergyfuture,w",1,au,gov,cleanenergyfuture,w,,,,,,,w.cleanenergyfuture.gov.au
3016,"au,gov,aec,electionjobs",82,au,gov,aec,electionjobs,,,,,,,electionjobs.aec.gov.au
3017,"au,gov,nsw,sl,iiif",1,au,gov,nsw,sl,iiif,,,,,,iiif.sl.nsw.gov.au
3018,"au,gov,bom,ho,pcstats",1,au,gov,bom,ho,pcstats,,,,,,pcstats.ho.bom.gov.au
3019,"au,gov,nsw,waverley,library",76241,au,gov,nsw,waverley,library,,,,,,library.waverley.nsw.gov.au
3020,"au,gov,vic,saveenergy",186,au,gov,vic,saveenergy,,,,,,,saveenergy.vic.gov.au
3021,"au,gov,wa,jobs,onboardwa",22,au,gov,wa,jobs,onboardwa,,,,,,onboardwa.jobs.wa.gov.au
3022,"au,gov,qld,treasury,ext2",3,au,gov,qld,treasury,ext2,,,,,,ext2.treasury.qld.gov.au
3023,"au,gov,nsw,schools,teventint-p",178,au,gov,nsw,schools,teventint-p,,,,,,teventint-p.schools.nsw.gov.au
3024,"au,gov,wa,online,ecommercecentre",6158,au,gov,wa,online,ecommercecentre,,,,,,ecommercecentre.online.wa.gov.au
3025,"au,gov,wa,belmont,library",6,au,gov,wa,belmont,library,,,,,,library.belmont.wa.gov.au
3026,"au,gov,sa,cfs,maps",104,au,gov,sa,cfs,maps,,,,,,maps.cfs.sa.gov.au
3027,"au,gov,sa,pswr",53848,au,gov,sa,pswr,,,,,,,pswr.sa.gov.au
3028,"au,gov,nsw,cs,gw",62,au,gov,nsw,cs,gw,,,,,,gw.cs.nsw.gov.au
3029,"au,gov,vic,casey,conversations",65,au,gov,vic,casey,conversations,,,,,,conversations.casey.vic.gov.au
3030,"au,gov,nsw,environment,authsc",4,au,gov,nsw,environment,authsc,,,,,,authsc.environment.nsw.gov.au
3031,"au,gov,tas,education,connections,draft",11,au,gov,tas,education,connections,draft,,,,,draft.connections.education.tas.gov.au
3032,"au,gov,qld,tafe,southbank",5496,au,gov,qld,tafe,southbank,,,,,,southbank.tafe.qld.gov.au
3033,"au,gov,wa,southperth,yoursay",1178,au,gov,wa,southperth,yoursay,,,,,,yoursay.southperth.wa.gov.au
3034,"au,gov,nsw,health,nsccahs,internet-apps",78,au,gov,nsw,health,nsccahs,internet-apps,,,,,internet-apps.nsccahs.health.nsw.gov.au
3035,"au,gov,vic,realm",197,au,gov,vic,realm,,,,,,,realm.vic.gov.au
3036,"au,gov,jsfconference",8,au,gov,jsfconference,,,,,,,,jsfconference.gov.au
3037,"au,gov,nt,entapps",2,au,gov,nt,entapps,,,,,,,entapps.nt.gov.au
3038,"au,gov,vic,mvcc",50386,au,gov,vic,mvcc,,,,,,,mvcc.vic.gov.au
3039,"au,gov,nsw,fncw",802,au,gov,nsw,fncw,,,,,,,fncw.nsw.gov.au
3040,"au,gov,vic,ballarat,images",1606,au,gov,vic,ballarat,images,,,,,,images.ballarat.vic.gov.au
3041,"au,gov,nsw,fairtrading,cas",41,au,gov,nsw,fairtrading,cas,,,,,,cas.fairtrading.nsw.gov.au
3042,"au,gov,mincos",227,au,gov,mincos,,,,,,,,mincos.gov.au
3043,"au,gov,nsw,begavalley",332994,au,gov,nsw,begavalley,,,,,,,begavalley.nsw.gov.au
3044,"au,gov,nsw,orange,ecouncil",71,au,gov,nsw,orange,ecouncil,,,,,,ecouncil.orange.nsw.gov.au
3045,"au,gov,nt,dsrr",223,au,gov,nt,dsrr,,,,,,,dsrr.nt.gov.au
3046,"au,gov,qld,dete,webmail",2,au,gov,qld,dete,webmail,,,,,,webmail.dete.qld.gov.au
3047,"au,gov,vic,epa,beachreport",1293,au,gov,vic,epa,beachreport,,,,,,beachreport.epa.vic.gov.au
3048,"au,gov,nsw,health,dbstest",13,au,gov,nsw,health,dbstest,,,,,,dbstest.health.nsw.gov.au
3049,"au,gov,sa,slsa,beta",209,au,gov,sa,slsa,beta,,,,,,beta.slsa.sa.gov.au
3050,"au,gov,vic,glenelg,yoursay",890,au,gov,vic,glenelg,yoursay,,,,,,yoursay.glenelg.vic.gov.au
3051,"au,gov,vic,workhealth,w",1,au,gov,vic,workhealth,w,,,,,,w.workhealth.vic.gov.au
3052,"au,gov,vic,wyndham,theloop",763,au,gov,vic,wyndham,theloop,,,,,,theloop.wyndham.vic.gov.au
3053,"au,gov,nsw,weagree,app",1,au,gov,nsw,weagree,app,,,,,,app.weagree.nsw.gov.au
3054,"au,gov,paralympicchallenge",217,au,gov,paralympicchallenge,,,,,,,,paralympicchallenge.gov.au
3055,"au,gov,nsw,schools,moreeeast-p",171,au,gov,nsw,schools,moreeeast-p,,,,,,moreeeast-p.schools.nsw.gov.au
3056,"au,gov,nt,astc",1,au,gov,nt,astc,,,,,,,astc.nt.gov.au
3057,"au,gov,foundingdocs",3900,au,gov,foundingdocs,,,,,,,,foundingdocs.gov.au
3058,"au,gov,qld,cairns,disaster",19,au,gov,qld,cairns,disaster,,,,,,disaster.cairns.qld.gov.au
3059,"au,gov,vic,monlib,staffw2",141,au,gov,vic,monlib,staffw2,,,,,,staffw2.monlib.vic.gov.au
3060,"au,gov,afma,www-test12",18,au,gov,afma,www-test12,,,,,,,www-test12.afma.gov.au
3061,"au,gov,vic,esv,lodge2",8,au,gov,vic,esv,lodge2,,,,,,lodge2.esv.vic.gov.au
3062,"au,gov,nsw,health,nursesreg",45559,au,gov,nsw,health,nursesreg,,,,,,nursesreg.health.nsw.gov.au
3063,"au,gov,wa,icwa,espapp",653,au,gov,wa,icwa,espapp,,,,,,espapp.icwa.wa.gov.au
3064,"au,gov,qld,yam",1,au,gov,qld,yam,,,,,,,yam.qld.gov.au
3065,"au,gov,tas,sorell",32574,au,gov,tas,sorell,,,,,,,sorell.tas.gov.au
3066,"au,gov,austrade,shop",1,au,gov,austrade,shop,,,,,,,shop.austrade.gov.au
3067,"au,gov,vic,brimbanklibraries,demo",71,au,gov,vic,brimbanklibraries,demo,,,,,,demo.brimbanklibraries.vic.gov.au
3068,"au,gov,nsw,schools,bardwelpki-p",180,au,gov,nsw,schools,bardwelpki-p,,,,,,bardwelpki-p.schools.nsw.gov.au
3069,"au,gov,nsw,schools,irrawang-h",1478,au,gov,nsw,schools,irrawang-h,,,,,,irrawang-h.schools.nsw.gov.au
3070,"au,gov,sa,transport,ezyreg",1611,au,gov,sa,transport,ezyreg,,,,,,ezyreg.transport.sa.gov.au
3071,"au,gov,qld,strachaninquiry",6,au,gov,qld,strachaninquiry,,,,,,,strachaninquiry.qld.gov.au
3072,"au,gov,nsw,schools,como-p",133,au,gov,nsw,schools,como-p,,,,,,como-p.schools.nsw.gov.au
3073,"au,gov,act,canberrahospital",469,au,gov,act,canberrahospital,,,,,,,canberrahospital.act.gov.au
3074,"au,gov,naa,mappingouranzacs",276390,au,gov,naa,mappingouranzacs,,,,,,,mappingouranzacs.naa.gov.au
3075,"au,gov,year12whatnext",57,au,gov,year12whatnext,,,,,,,,year12whatnext.gov.au
3076,"au,gov,nsw,schools,woodberry-p",289,au,gov,nsw,schools,woodberry-p,,,,,,woodberry-p.schools.nsw.gov.au
3077,"au,gov,nsw,schools,beverleypk-s",151,au,gov,nsw,schools,beverleypk-s,,,,,,beverleypk-s.schools.nsw.gov.au
3078,"au,gov,nsw,gtcc,maps",89,au,gov,nsw,gtcc,maps,,,,,,maps.gtcc.nsw.gov.au
3079,"au,gov,qld,citec,dais,spock1",1,au,gov,qld,citec,dais,spock1,,,,,spock1.dais.citec.qld.gov.au
3080,"au,gov,health,healthyandactive",7,au,gov,health,healthyandactive,,,,,,,healthyandactive.health.gov.au
3081,"au,gov,nsw,schools,minnamurra-p",196,au,gov,nsw,schools,minnamurra-p,,,,,,minnamurra-p.schools.nsw.gov.au
3082,"au,gov,nsw,canadabay,masterview",7,au,gov,nsw,canadabay,masterview,,,,,,masterview.canadabay.nsw.gov.au
3083,"au,gov,nsw,countrylink,bookings",891,au,gov,nsw,countrylink,bookings,,,,,,bookings.countrylink.nsw.gov.au
3084,"au,gov,nsw,schools,thomasredd-h",731,au,gov,nsw,schools,thomasredd-h,,,,,,thomasredd-h.schools.nsw.gov.au
3085,"au,gov,industry,jsf",1,au,gov,industry,jsf,,,,,,,jsf.industry.gov.au
3086,"au,gov,sa,statedevelopment,eri",1218,au,gov,sa,statedevelopment,eri,,,,,,eri.statedevelopment.sa.gov.au
3087,"au,gov,wa,dec",58979,au,gov,wa,dec,,,,,,,dec.wa.gov.au
3088,"au,gov,nsw,schools,bangor-p",165,au,gov,nsw,schools,bangor-p,,,,,,bangor-p.schools.nsw.gov.au
3089,"au,gov,nsw,cumberland,webchat",1,au,gov,nsw,cumberland,webchat,,,,,,webchat.cumberland.nsw.gov.au
3090,"au,gov,nsw,sopa",5260,au,gov,nsw,sopa,,,,,,,sopa.nsw.gov.au
3091,"au,gov,agedcare",53922,au,gov,agedcare,,,,,,,,agedcare.gov.au
3092,"au,gov,humanrights,agepositive",3868,au,gov,humanrights,agepositive,,,,,,,agepositive.humanrights.gov.au
3093,"au,gov,vic,vicroads,maps",106,au,gov,vic,vicroads,maps,,,,,,maps.vicroads.vic.gov.au
3094,"au,gov,wa,northam",3433,au,gov,wa,northam,,,,,,,northam.wa.gov.au
3095,"au,gov,vic,darebinlibraries",5781,au,gov,vic,darebinlibraries,,,,,,,darebinlibraries.vic.gov.au
3096,"au,gov,business,trans2",22887,au,gov,business,trans2,,,,,,,trans2.business.gov.au
3097,"au,gov,mhpod,aus",14,au,gov,mhpod,aus,,,,,,,aus.mhpod.gov.au
3098,"au,gov,nt,bac",9,au,gov,nt,bac,,,,,,,bac.nt.gov.au
3099,"au,gov,vic,vgso",14919,au,gov,vic,vgso,,,,,,,vgso.vic.gov.au
3100,"au,gov,qld,fnqroc",884,au,gov,qld,fnqroc,,,,,,,fnqroc.qld.gov.au
3101,"au,gov,embassy,malta",50,au,gov,embassy,malta,,,,,,,malta.embassy.gov.au
3102,"au,gov,qld,osteoboard",70,au,gov,qld,osteoboard,,,,,,,osteoboard.qld.gov.au
3103,"au,gov,nsw,schools,bilambil-p",498,au,gov,nsw,schools,bilambil-p,,,,,,bilambil-p.schools.nsw.gov.au
3104,"au,gov,cin,canb",1072,au,gov,cin,canb,,,,,,,canb.cin.gov.au
3105,"au,gov,aph,oow",49,au,gov,aph,oow,,,,,,,oow.aph.gov.au
3106,"au,gov,vic,sunburyhumetransition",25,au,gov,vic,sunburyhumetransition,,,,,,,sunburyhumetransition.vic.gov.au
3107,"au,gov,swa,seminars",204,au,gov,swa,seminars,,,,,,,seminars.swa.gov.au
3108,"au,gov,wa,albany,places",2,au,gov,wa,albany,places,,,,,,places.albany.wa.gov.au
3109,"au,gov,nsw,health,ecav",623,au,gov,nsw,health,ecav,,,,,,ecav.health.nsw.gov.au
3110,"au,gov,nsw,kmc,admin",38,au,gov,nsw,kmc,admin,,,,,,admin.kmc.nsw.gov.au
3111,"au,gov,sa,parliament,library",1,au,gov,sa,parliament,library,,,,,,library.parliament.sa.gov.au
3112,"au,gov,nsw,schools,caringbah-h",641,au,gov,nsw,schools,caringbah-h,,,,,,caringbah-h.schools.nsw.gov.au
3113,"au,gov,qld,ulda",2168,au,gov,qld,ulda,,,,,,,ulda.qld.gov.au
3114,"au,gov,qld,cooloola,spydus",55,au,gov,qld,cooloola,spydus,,,,,,spydus.cooloola.qld.gov.au
3115,"au,gov,youngendeavour,swift",1,au,gov,youngendeavour,swift,,,,,,,swift.youngendeavour.gov.au
3116,"au,gov,nsw,schools,middletongr-p",155,au,gov,nsw,schools,middletongr-p,,,,,,middletongr-p.schools.nsw.gov.au
3117,"au,gov,nsw,travellerhelpline",19,au,gov,nsw,travellerhelpline,,,,,,,travellerhelpline.nsw.gov.au
3118,"au,gov,wa,review,wscact",4,au,gov,wa,review,wscact,,,,,,wscact.review.wa.gov.au
3119,"au,gov,casa,my",2,au,gov,casa,my,,,,,,,my.casa.gov.au
3120,"au,gov,lakeeyrebasin",3664,au,gov,lakeeyrebasin,,,,,,,,lakeeyrebasin.gov.au
3121,"au,gov,nsw,ambulance,mylifematters",1,au,gov,nsw,ambulance,mylifematters,,,,,,mylifematters.ambulance.nsw.gov.au
3122,"au,gov,nsw,schools,wardell-p",152,au,gov,nsw,schools,wardell-p,,,,,,wardell-p.schools.nsw.gov.au
3123,"au,gov,tas,gcc,careers",4,au,gov,tas,gcc,careers,,,,,,careers.gcc.tas.gov.au
3124,"au,gov,healthdirect,portal",3,au,gov,healthdirect,portal,,,,,,,portal.healthdirect.gov.au
3125,"au,gov,qld,initiatives,quithq",67,au,gov,qld,initiatives,quithq,,,,,,quithq.initiatives.qld.gov.au
3126,"au,gov,wa,chiroboard",1086,au,gov,wa,chiroboard,,,,,,,chiroboard.wa.gov.au
3127,"au,gov,dist",42069,au,gov,dist,,,,,,,,dist.gov.au
3128,"au,gov,vic,nccma,dev",7,au,gov,vic,nccma,dev,,,,,,dev.nccma.vic.gov.au
3129,"au,gov,nsw,local-e,deniliquin",9410,au,gov,nsw,local-e,deniliquin,,,,,,deniliquin.local-e.nsw.gov.au
3130,"au,gov,nsw,schools,lawson-p",302,au,gov,nsw,schools,lawson-p,,,,,,lawson-p.schools.nsw.gov.au
3131,"au,gov,nsw,schools,bodalla-p",609,au,gov,nsw,schools,bodalla-p,,,,,,bodalla-p.schools.nsw.gov.au
3132,"au,gov,sa,austrails",1,au,gov,sa,austrails,,,,,,,austrails.sa.gov.au
3133,"au,gov,wa,trb,login",13,au,gov,wa,trb,login,,,,,,login.trb.wa.gov.au
3134,"au,gov,tas,linc,digital",4,au,gov,tas,linc,digital,,,,,,digital.linc.tas.gov.au
3135,"au,gov,embassy,kuwait",51,au,gov,embassy,kuwait,,,,,,,kuwait.embassy.gov.au
3136,"au,gov,nsw,kempsey,macleay",26,au,gov,nsw,kempsey,macleay,,,,,,macleay.kempsey.nsw.gov.au
3137,"au,gov,sa,ics,government",231,au,gov,sa,ics,government,,,,,,government.ics.sa.gov.au
3138,"au,gov,vic,business,lm",4,au,gov,vic,business,lm,,,,,,lm.business.vic.gov.au
3139,"au,gov,qld,deta,auth",21,au,gov,qld,deta,auth,,,,,,auth.deta.qld.gov.au
3140,"au,gov,nsw,cityofsydney,citrix",2,au,gov,nsw,cityofsydney,citrix,,,,,,citrix.cityofsydney.nsw.gov.au
3141,"au,gov,ato,ecitest",1,au,gov,ato,ecitest,,,,,,,ecitest.ato.gov.au
3142,"au,gov,vic,mpb",2108,au,gov,vic,mpb,,,,,,,mpb.vic.gov.au
3143,"au,gov,agriculture,apps",15,au,gov,agriculture,apps,,,,,,,apps.agriculture.gov.au
3144,"au,gov,nma,library",121227,au,gov,nma,library,,,,,,,library.nma.gov.au
3145,"au,gov,qld,ecq,virtualtallyroom",4907,au,gov,qld,ecq,virtualtallyroom,,,,,,virtualtallyroom.ecq.qld.gov.au
3146,"au,gov,qld,logan,catalogue",364589,au,gov,qld,logan,catalogue,,,,,,catalogue.logan.qld.gov.au
3147,"au,gov,sa,mountgambier,internal",532,au,gov,sa,mountgambier,internal,,,,,,internal.mountgambier.sa.gov.au
3148,"au,gov,embassy,china,chengdu",176,au,gov,embassy,china,chengdu,,,,,,chengdu.china.embassy.gov.au
3149,"au,gov,qld,townsville,library",162,au,gov,qld,townsville,library,,,,,,library.townsville.qld.gov.au
3150,"au,gov,nsw,sta,75",37,au,gov,nsw,sta,75,,,,,,75.sta.nsw.gov.au
3151,"au,gov,internetbasics,temp",40,au,gov,internetbasics,temp,,,,,,,temp.internetbasics.gov.au
3152,"au,gov,nsw,ccic",12,au,gov,nsw,ccic,,,,,,,ccic.nsw.gov.au
3153,"au,gov,nsw,epa,images",9,au,gov,nsw,epa,images,,,,,,images.epa.nsw.gov.au
3154,"au,gov,aec,data",9,au,gov,aec,data,,,,,,,data.aec.gov.au
3155,"au,gov,nsw,ryde,eservices",235,au,gov,nsw,ryde,eservices,,,,,,eservices.ryde.nsw.gov.au
3156,"au,gov,esafety,beconnected",1229,au,gov,esafety,beconnected,,,,,,,beconnected.esafety.gov.au
3157,"au,gov,wa,police,elearning-support,appointexam",22,au,gov,wa,police,elearning-support,appointexam,,,,,appointexam.elearning-support.police.wa.gov.au
3158,"au,gov,nsw,schools,roberttown-p",187,au,gov,nsw,schools,roberttown-p,,,,,,roberttown-p.schools.nsw.gov.au
3159,"au,gov,jobs,docs",2723,au,gov,jobs,docs,,,,,,,docs.jobs.gov.au
3160,"au,gov,wa,dhw,homeless",20,au,gov,wa,dhw,homeless,,,,,,homeless.dhw.wa.gov.au
3161,"au,gov,sa,sahealth,extapps2",18,au,gov,sa,sahealth,extapps2,,,,,,extapps2.sahealth.sa.gov.au
3162,"au,gov,nsw,lachlan,library",838972,au,gov,nsw,lachlan,library,,,,,,library.lachlan.nsw.gov.au
3163,"au,gov,wa,landgate,srss-ows",1,au,gov,wa,landgate,srss-ows,,,,,,srss-ows.landgate.wa.gov.au
