,urlkey,number_of_pages,0,1,2,3,4,5,6,7,8,9,domain
57,"au,gov,dotars,gis,test",1,au,gov,dotars,gis,test,,,,,,test.gis.dotars.gov.au
58,"au,gov,qld,whitsunday,intranet",1266,au,gov,qld,whitsunday,intranet,,,,,,intranet.whitsunday.qld.gov.au
59,"au,gov,vic,diird,secure",77,au,gov,vic,diird,secure,,,,,,secure.diird.vic.gov.au
60,"au,gov,sa,collaborativecare",1,au,gov,sa,collaborativecare,,,,,,,collaborativecare.sa.gov.au
61,"au,gov,vvcs",82,au,gov,vvcs,,,,,,,,vvcs.gov.au
62,"au,gov,qld,sunshinecoast,holidayparks",57,au,gov,qld,sunshinecoast,holidayparks,,,,,,holidayparks.sunshinecoast.qld.gov.au
63,"au,gov,homeaffairs,immi",2381,au,gov,homeaffairs,immi,,,,,,,immi.homeaffairs.gov.au
64,"au,gov,nsw,legalaid",17973,au,gov,nsw,legalaid,,,,,,,legalaid.nsw.gov.au
65,"au,gov,ga,asud",48,au,gov,ga,asud,,,,,,,asud.ga.gov.au
66,"au,gov,ips,lso,genesis",10,au,gov,ips,lso,genesis,,,,,,genesis.lso.ips.gov.au
67,"au,gov,nsw,bizlink,opa",1,au,gov,nsw,bizlink,opa,,,,,,opa.bizlink.nsw.gov.au
68,"au,gov,wa,mpr,mapservertst",2,au,gov,wa,mpr,mapservertst,,,,,,mapservertst.mpr.wa.gov.au
69,"au,gov,vic,business,sb",14810,au,gov,vic,business,sb,,,,,,sb.business.vic.gov.au
70,"au,gov,agimo,lists",152,au,gov,agimo,lists,,,,,,,lists.agimo.gov.au
71,"au,gov,nsw,ipart",183553,au,gov,nsw,ipart,,,,,,,ipart.nsw.gov.au
72,"au,gov,vic,ptv,tt",4091,au,gov,vic,ptv,tt,,,,,,tt.ptv.vic.gov.au
73,"au,gov,wa,dfes,bushfirepatrol",10,au,gov,wa,dfes,bushfirepatrol,,,,,,bushfirepatrol.dfes.wa.gov.au
74,"au,gov,nsw,schools,yanderra-p",207,au,gov,nsw,schools,yanderra-p,,,,,,yanderra-p.schools.nsw.gov.au
75,"au,gov,wa,agric,workshops",1,au,gov,wa,agric,workshops,,,,,,workshops.agric.wa.gov.au
76,"au,gov,vic,swarh,kronos",2,au,gov,vic,swarh,kronos,,,,,,kronos.swarh.vic.gov.au
77,"au,gov,nsw,cityrail",17012,au,gov,nsw,cityrail,,,,,,,cityrail.nsw.gov.au
78,"au,gov,nsw,schools,argenton-p",577,au,gov,nsw,schools,argenton-p,,,,,,argenton-p.schools.nsw.gov.au
79,"au,gov,nsw,sicorp,cognos-prod",3,au,gov,nsw,sicorp,cognos-prod,,,,,,cognos-prod.sicorp.nsw.gov.au
80,"au,gov,govcms,decd-sa",12,au,gov,govcms,decd-sa,,,,,,,decd-sa.govcms.gov.au
81,"au,gov,nsw,campbelltown,pcbookings",73,au,gov,nsw,campbelltown,pcbookings,,,,,,pcbookings.campbelltown.nsw.gov.au
82,"au,gov,act,contact,w",1,au,gov,act,contact,w,,,,,,w.contact.act.gov.au
83,"au,gov,atsihealthpracticeboard",3024,au,gov,atsihealthpracticeboard,,,,,,,,atsihealthpracticeboard.gov.au
84,"au,gov,nsw,communitytechnology,tibooburra",39,au,gov,nsw,communitytechnology,tibooburra,,,,,,tibooburra.communitytechnology.nsw.gov.au
85,"au,gov,nsw,schools,junee-h",464,au,gov,nsw,schools,junee-h,,,,,,junee-h.schools.nsw.gov.au
86,"au,gov,tas,people",585,au,gov,tas,people,,,,,,,people.tas.gov.au
87,"au,gov,wa,elections,ivote-cvs",3,au,gov,wa,elections,ivote-cvs,,,,,,ivote-cvs.elections.wa.gov.au
88,"au,gov,nsw,wollondilly",54934,au,gov,nsw,wollondilly,,,,,,,wollondilly.nsw.gov.au
89,"au,gov,nlwra",11947,au,gov,nlwra,,,,,,,,nlwra.gov.au
90,"au,gov,vic,strathbogie",34053,au,gov,vic,strathbogie,,,,,,,strathbogie.vic.gov.au
91,"au,gov,nsw,facs,portal,cm",1,au,gov,nsw,facs,portal,cm,,,,,cm.portal.facs.nsw.gov.au
92,"au,gov,ausport,subscribe",7,au,gov,ausport,subscribe,,,,,,,subscribe.ausport.gov.au
93,"au,gov,wa,dpc,reporting",11,au,gov,wa,dpc,reporting,,,,,,reporting.dpc.wa.gov.au
94,"au,gov,nsw,ugdc",633,au,gov,nsw,ugdc,,,,,,,ugdc.nsw.gov.au
95,"au,gov,vic,kingston,netloan",13,au,gov,vic,kingston,netloan,,,,,,netloan.kingston.vic.gov.au
96,"au,gov,infrastructure,w",1,au,gov,infrastructure,w,,,,,,,w.infrastructure.gov.au
97,"au,gov,nsw,ric",225,au,gov,nsw,ric,,,,,,,ric.nsw.gov.au
98,"au,gov,qld,information,qldglobe",25,au,gov,qld,information,qldglobe,,,,,,qldglobe.information.qld.gov.au
99,"au,gov,health,cfc",207,au,gov,health,cfc,,,,,,,cfc.health.gov.au
100,"au,gov,act,mail",34,au,gov,act,mail,,,,,,,mail.act.gov.au
101,"au,gov,tas,tic,test",1,au,gov,tas,tic,test,,,,,,test.tic.tas.gov.au
102,"au,gov,nsw,schools,barrackht-p",221,au,gov,nsw,schools,barrackht-p,,,,,,barrackht-p.schools.nsw.gov.au
103,"au,gov,federalcircuitcourt",2288,au,gov,federalcircuitcourt,,,,,,,,federalcircuitcourt.gov.au
104,"au,gov,nsw,kmc,opac",2120,au,gov,nsw,kmc,opac,,,,,,opac.kmc.nsw.gov.au
105,"au,gov,nsw,wls,webopac",3008,au,gov,nsw,wls,webopac,,,,,,webopac.wls.nsw.gov.au
106,"au,gov,nsw,schools,newcastle-s",22,au,gov,nsw,schools,newcastle-s,,,,,,newcastle-s.schools.nsw.gov.au
107,"au,gov,wa,finance,contractswa,eda",7368,au,gov,wa,finance,contractswa,eda,,,,,eda.contractswa.finance.wa.gov.au
108,"au,gov,nsw,schools,raymondter-p",261,au,gov,nsw,schools,raymondter-p,,,,,,raymondter-p.schools.nsw.gov.au
109,"au,gov,nt,dlpe",518,au,gov,nt,dlpe,,,,,,,dlpe.nt.gov.au
110,"au,gov,drinkingchoices",30437,au,gov,drinkingchoices,,,,,,,,drinkingchoices.gov.au
